,Title,Source,Description,Keywords
0,Gifu no bu / Ukiyo-onna Fuzoku Shuko,https://research.britishmuseum.org/collectionimages/AN00423/AN00423713_001_l.jpg,Woodblock print. Bijinga. Two courtesans out walking. Nishiki-e on paper.,courtesan/prostitute;bijin
1,Su / Ukiyo Rikugei Ryaku,https://research.britishmuseum.org/collectionimages/AN00423/AN00423161_001_l.jpg,"Woodblock print.Classical series. Popular culture. Two women measuring length of cloth, with verse above. 1 of 2. Nishiki-e on paper.",
2,print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421017_001_l.jpg,"Woodblock print. Popular culture. The crow and the heron, couple walking in snow under an umbrella. Nishiki-e on paper.",snow;bird
3,Fuzoku Azuma no nishiki ÅE¢®ÅEøÅEÅEÅE±ÅEπÅEÅEÅE¶ (Brocades of the East in Daily Life),https://research.britishmuseum.org/collectionimages/AN00595/AN00595832_001_l.jpg,Colour woodblock-printed diptych. Bush-clover garden: young samurai in formal attire; attended by tea-girl in garden at Ryoganji Temple at Kamedo; three women from the entertainment quarter ogling on right. Inscribed and signed.,garden
4,Ukiyo juroku musashi,https://research.britishmuseum.org/collectionimages/AN00537/AN00537401_001_l.jpg,"Woodblock print. Bijinga. Girl reading a letter, with board game inset. Nishiki-e on paper.",sport/pastime;bijin
5,O-jo / Ukiyo Nijushi-ko,https://research.britishmuseum.org/collectionimages/AN00246/AN00246310_001_l.jpg,Woodblock. Classical series. Woman and child with goldfish bowl. Nishiki-e on paper.,fish;child
6,Ada-kura ukiyo-e sugata,https://research.britishmuseum.org/collectionimages/AN00530/AN00530209_001_l.jpg,"Woodblock print. Bijinga. Love. Girl reading letter from a wrestler with, inset, open book of joruri. Nishiki-e on paper.",puppetry;wrestling/wrestler;bijin;courtship/love
7,Yamashiroya-uchi Hatsu-ito / Ukiyo Bijin Hana-Yose,https://research.britishmuseum.org/collectionimages/AN00421/AN00421999_001_l.jpg,"Woodblock print.Hagi tying kamuro's obi, monkey in hanging scroll reaching for love-letter. Poem. Nishiki-e on paper.",courtesan/prostitute;mammal;bijin;kamuro
8,Musume fu / Ukiyo bijin hana ni yosu,https://research.britishmuseum.org/collectionimages/AN00440/AN00440751_001_l.jpg,Woodblock print. Bijinga. Young couple by a tea-stall with hagi flowers in bloom. Poem. Nishiki-e on paper.,tea production/trade;flower;bijin
9,Ukiyo Bijin Hana-Mi-tate,https://research.britishmuseum.org/collectionimages/AN00421/AN00421973_001_l.jpg,"Woodblock print. Bijinga. Chojiya-uchi Chozan with her kamuro and friend preparing to smoke,with poem. Nishiki-e on paper.",courtesan/prostitute;literature;bijin;kamuro
10,Furyu Ukiyo Mu-Tamagawa,https://research.britishmuseum.org/collectionimages/AN00516/AN00516236_001_l.jpg,"Woodblock print. Bijinga. Classical series. Small boy upsetting goldfish bowl on veranda of house, watched by two women. Nishiki-e on paper.",fish;domestic building;child;bijin
11,diptych print,https://research.britishmuseum.org/collectionimages/AN00595/AN00595730_001_l.jpg,"Woodblock print, diptych. Popular culture. Women and girls cooling off on the waterfront at evening. Nishiki-e on paper.",child
15,Asakusa bansho (Evening Bell at Asakusa) / Furyu ukiyo hakkei (Stylish Eight Views of the Floating World),https://research.britishmuseum.org/collectionimages/AN00423/AN00423000_001_l.jpg,"Woodblock print. Bijinga. Classical series. Ofuji, seated outside father's cosmetic shop with friend holding firebox, with poem. Nishiki-e on paper.",shop;literature;bijin
16,print,https://research.britishmuseum.org/collectionimages/AN00516/AN00516199_001_l.jpg,Woodblock print. Bijinga. Two geisha performing the harugoma. Poems. Nishiki-e on paper.,geisha;dance;bijin
17,Su / Ukiyo Rokugei Ryaku,https://research.britishmuseum.org/collectionimages/AN00423/AN00423805_001_l.jpg,"Woodblock. Two women measuring cloth for a dress in a room, with poem. Nishiki-e on paper.",costume/clothing
18,triptych print,https://research.britishmuseum.org/collectionimages/AN00611/AN00611840_001_l.jpg,"Woodblock print, triptych. Popular culture. Travellers pausing on the beach at Enoshima. Nishiki-e on paper.",traveller/travel;beach scene
19,Aki kusa ÅEßÅEÅEÅEÅEÅEÅEÅE (Autumn Grasses) / Ukiyo fuzoku tsu ÅEµÆÅE∏ÅEÅE¢®ÅEøÅEÅEÄÅE (Complete Customs of the Floating World),https://research.britishmuseum.org/collectionimages/AN00453/AN00453874_001_l.jpg,"Woodblock print, triptych. Plucking flowers.",flower;bijin
20,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423067_001_l.jpg,Woodblock print. Kachoga. Chinese-style planter or vase with chrysanthemums against the setting sun. Nishiki-e on paper.,sun/moon;vessel;flower
21,print,https://research.britishmuseum.org/collectionimages/AN00440/AN00440425_001_l.jpg,Woodblock print. Popular culture. Youth and girl collecting persimmons by a stream. Nishiki-e on paper.,fruit;child
22,Haikai iro no minato,https://research.britishmuseum.org/collectionimages/AN00422/AN00422954_001_l.jpg,Woodblock print. Popular culture. 2 girls in a fashionable house dressing up a man as Daruma. Nishiki-e on paper.,domestic building;child;haiku
23,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423027_001_l.jpg,"Woodblock print. Bijinga. Courtesan and dog in the garden of a fashionable house at evening, a view of the party through the shoji. Nishiki-e on paper.",time/seasons;leisure/entertainment;courtesan/prostitute;garden;domestic building;bijin;dog
24,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422227_001_l.jpg,"Woodblock print. Popular culture. 2 young men,suitably attired,on their way to a shrine and leading a fretful horse. Nishiki-e on paper.",shrine;horse/ass
25,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422225_001_l.jpg,Woodblock print. Popular culture. Couple fixing kadomatsu for the New Year in the gateway of their house. Poem. Nishiki-e on paper.,domestic building;arch/gateway
26,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422222_001_l.jpg,Woodblock print. Bijinga. Two courtesans in an entrance hall examining a letter. Nishiki-e on paper.,courtesan/prostitute;interior;bijin
27,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422217_001_l.jpg,"Woodblock print. Popular culture. Woman, stripped to the waist, washing her little boy's face on the veranda. Nishiki-e on paper.",child
28,Haikai iro no minato,https://research.britishmuseum.org/collectionimages/AN00440/AN00440703_001_l.jpg,Woodblock print. Bijinga. Courtesan dictating letter to her kamuro in her bedroom. Nishiki-e on paper.,courtesan/prostitute;bijin;bedroom;kamuro;haiku
29,print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421977_001_l.jpg,Woodblock print. Small boys wrestling. Nishiki-e on paper.,wrestling/wrestler;child
30,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422050_001_l.jpg,"Woodblock print. Bijinga. Courtesan seated outside a shop with a pipe in one hand and other arm around kamuro, probably whispering. Nishiki-e on paper.",smoking;shop;courtesan/prostitute;bijin;kamuro
31,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422138_001_l.jpg,Woodblock print. Bijinga. Father and son wading in stream with large fishing net. Nishiki-e on paper.,fisherman/fishing;bijin
