Title,Source,Description,Keywords
print,https://research.britishmuseum.org/collectionimages/AN00510/AN00510671_001_l.jpg,Woodblock print. Popular culture. Lady attending samurai in dressing-room scene. Nishiki-e on paper.,samurai
Komagata-do・・ｻﾂﾂ・・ｻ・ｽｧ・・ｻ・・ｻ・ｽｽ・ｽ｢・・ｻ・｣ｰ・・ｻ (Komagata Hall) / Tokyo meisho zue・・ｻﾂﾂ・・ｻ・・ｻ・ｽｱ・・ｻ・ｽｺ・ｽｬ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻﾂ・・ｻ・・ｻ・ｽｳ・・ｻ・ｽｵ・ｽｵ (Famous Places in Tokyo),https://research.britishmuseum.org/collectionimages/AN00434/AN00434048_001_l.jpg,Woodblock print. Woman and small girl beside Komagata Hall at night.,bijin
Yomogiu ・・ｻ・・ｻ・ｽｬ・・ｻ・・ｻ・・ｻ (No. 15 Wormwood Patch) / Genji kumo ukiyoe awase ・・ｻ・ｽｺ・・ｻ・・ｻ・ｽｰ・・ｻ・・ｻ・・ｻ・ｽｲ・・ｻ・ｽｵ・ｽｮ・・ｻ・ｽｸ・・ｻ・・ｻ・ｽｵ・ｽｵ・・ｻ・・ｻ・・ｻ (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589002_001_l.jpg,"Woodblock print, oban tate-e. Hisamatsu standing and holding a napkin with the elderly Yamazaki no Kyusaku seated before him. Poem inscribed above.",warrior;poetry
print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421964_001_l.jpg,Woodblock print. Popular culture. Mother reaching out for her baby under the mosquito-net. Nishiki-e on paper.,child
print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602533_001_l.jpg,Woodblock print from an album of 104 sheets. The actor Onoe Fujaku III as Awashima Kainosuke. Signed.,kabuki;actor/actress
painting,https://research.britishmuseum.org/collectionimages/AN00792/AN00792900_001_l.jpg,"Painting, album leaf. Scholar wearing mop-cap crouching close to oil-lamp. Ink and colour on paper. Signed and sealed.",fuzoku;book/newspaper
triptych print,https://research.britishmuseum.org/collectionimages/AN00546/AN00546692_001_l.jpg,"Colour woodblock oban triptych print. Travellers at Enoshima: Collection of elegantly dressed pilgrim travellers waiting at tea-stall at Katase Beach; seven women and one young man taking off hat, fanning breast, wiping perspiration, smoking pipe and re-tying sandal; more tourists watching boys swimming and looking across towards island; snow-capped Mt Fuji in distance. Signed, marked and inscribed.",pilgrim
Ushi no koku / Seiro juni toki tsuzuki,https://research.britishmuseum.org/collectionimages/AN00526/AN00526134_001_l.jpg,"Woodblock print. Popular culture. Hour of the ox, girl by screen, with lighted taper and letter. Nishiki-e on paper.",mammal;child
"Tsukiji monseki・・ｻﾂﾂ・・ｻ・ｽｯ・・ｻ・・ｻ・・ｻ・ｽｰ・・ｻ・・ｻﾂ・・ｻ・・ｻ・ｽ｢ (Site of the Gateway, Tsukiji) / Tokyo meisho zue・・ｻﾂﾂ・・ｻ・・ｻ・ｽｱ・・ｻ・ｽｺ・ｽｬ・・ｻ・・ｻ・・ｻ・・ｻ・・ｻﾂ・・ｻ・・ｻ・ｽｳ・・ｻ・ｽｵ・ｽｵ (Famous Places in Tokyo)",https://research.britishmuseum.org/collectionimages/AN00434/AN00434049_001_l.jpg,Woodblock print Young girl and dog in the moonlight at the site of the gateway at Tsukiji.,bijin;dog
Masaki yukibare no zu (Clearing Weather after Snowfall at Masaki) / Toto Meisho (Famous Places of the Eastern Capital),https://research.britishmuseum.org/collectionimages/AN00533/AN00533197_001_l.jpg,Woodblock print.Townscape. Clear weather after snow at Massaki. 1 of 2 impressions. Nishiki-e on paper.,snow;natural phenomenon;landscape
print,https://research.britishmuseum.org/collectionimages/AN00602/AN00602874_001_l.jpg,"Woodblock print. Courtesan of Edo, in outer garment decorated with ivy leaves, cherry blossom, fans and tasselled braids. Signed, sealed, marked and inscribed.",courtesan/prostitute
painting / handscroll,https://research.britishmuseum.org/collectionimages/AN01433/AN01433313_001_l.jpg,"Painting, handscroll. Scenes in theatre teahouse: In parlour room on right wealthy customer having shoulders rubbed by blind masseur and being entertained with sake and music by two young actors; in bed chamber to left young trainee female role specialist",theatre/theatrical life;tea-house;kabuki
