Title,Source,Description,Keywords
Gifu no bu / Ukiyo-onna Fuzoku Shuko,https://research.britishmuseum.org/collectionimages/AN00423/AN00423713_001_l.jpg,Woodblock print. Bijinga. Two courtesans out walking. Nishiki-e on paper.,courtesan/prostitute;bijin
print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421017_001_l.jpg,"Woodblock print. Popular culture. The crow and the heron, couple walking in snow under an umbrella. Nishiki-e on paper.",snow;bird
Fuzoku Azuma no nishiki ・・ｻ・ｽ｢・ｽｨ・・ｻ・ｽｿ・・ｻ・・ｻ・・ｻ・ｽｱ・・ｻ・ｽｹ・・ｻ・・ｻ・・ｻ・ｽｦ (Brocades of the East in Daily Life),https://research.britishmuseum.org/collectionimages/AN00595/AN00595832_001_l.jpg,Colour woodblock-printed diptych. Bush-clover garden: young samurai in formal attire; attended by tea-girl in garden at Ryoganji Temple at Kamedo; three women from the entertainment quarter ogling on right. Inscribed and signed.,garden
Ukiyo juroku musashi,https://research.britishmuseum.org/collectionimages/AN00537/AN00537401_001_l.jpg,"Woodblock print. Bijinga. Girl reading a letter, with board game inset. Nishiki-e on paper.",sport/pastime;bijin
O-jo / Ukiyo Nijushi-ko,https://research.britishmuseum.org/collectionimages/AN00246/AN00246310_001_l.jpg,Woodblock. Classical series. Woman and child with goldfish bowl. Nishiki-e on paper.,fish;child
Ada-kura ukiyo-e sugata,https://research.britishmuseum.org/collectionimages/AN00530/AN00530209_001_l.jpg,"Woodblock print. Bijinga. Love. Girl reading letter from a wrestler with, inset, open book of joruri. Nishiki-e on paper.",puppetry;wrestling/wrestler;bijin;courtship/love
Yamashiroya-uchi Hatsu-ito / Ukiyo Bijin Hana-Yose,https://research.britishmuseum.org/collectionimages/AN00421/AN00421999_001_l.jpg,"Woodblock print.Hagi tying kamuro's obi, monkey in hanging scroll reaching for love-letter. Poem. Nishiki-e on paper.",courtesan/prostitute;mammal;bijin;kamuro
Musume fu / Ukiyo bijin hana ni yosu,https://research.britishmuseum.org/collectionimages/AN00440/AN00440751_001_l.jpg,Woodblock print. Bijinga. Young couple by a tea-stall with hagi flowers in bloom. Poem. Nishiki-e on paper.,tea production/trade;flower;bijin
Ukiyo Bijin Hana-Mi-tate,https://research.britishmuseum.org/collectionimages/AN00421/AN00421973_001_l.jpg,"Woodblock print. Bijinga. Chojiya-uchi Chozan with her kamuro and friend preparing to smoke,with poem. Nishiki-e on paper.",courtesan/prostitute;literature;bijin;kamuro
Furyu Ukiyo Mu-Tamagawa,https://research.britishmuseum.org/collectionimages/AN00516/AN00516236_001_l.jpg,"Woodblock print. Bijinga. Classical series. Small boy upsetting goldfish bowl on veranda of house, watched by two women. Nishiki-e on paper.",fish;domestic building;child;bijin
diptych print,https://research.britishmuseum.org/collectionimages/AN00595/AN00595730_001_l.jpg,"Woodblock print, diptych. Popular culture. Women and girls cooling off on the waterfront at evening. Nishiki-e on paper.",child
Asakusa bansho (Evening Bell at Asakusa) / Furyu ukiyo hakkei (Stylish Eight Views of the Floating World),https://research.britishmuseum.org/collectionimages/AN00423/AN00423000_001_l.jpg,"Woodblock print. Bijinga. Classical series. Ofuji, seated outside father's cosmetic shop with friend holding firebox, with poem. Nishiki-e on paper.",shop;literature;bijin
print,https://research.britishmuseum.org/collectionimages/AN00516/AN00516199_001_l.jpg,Woodblock print. Bijinga. Two geisha performing the harugoma. Poems. Nishiki-e on paper.,geisha;dance;bijin
Su / Ukiyo Rokugei Ryaku,https://research.britishmuseum.org/collectionimages/AN00423/AN00423805_001_l.jpg,"Woodblock. Two women measuring cloth for a dress in a room, with poem. Nishiki-e on paper.",costume/clothing
