Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please evaluate your familiarity of Ukiyo-e images,Your last obtained education degree,,Your major research/study area,,https://research.britishmuseum.org/collectionimages/AN00546/AN00546692_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00527/AN00527032_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00513/AN00513096_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00602/AN00602826_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00601/AN00601788_001_l.jpg
,,,,,,,,,Response,Response,Other,Response,Other,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11227852753,251550596,12/17/2019 03:38:11 PM,12/17/2019 03:52:32 PM,133.19.169.1,,,,,2,Bachelor,,Computer Science,,the place is take near the river. there are mountain in outside of the river. there are girls near the river. one girl sit in the bench while drinking some drink.,there is a man that hold a brush. he want draw something in the canvas. he want to draw scenery of some village. there a some viewers that see the man drawing in the behind.,there are 6 people in the picture. 4 childrens play in park or backyard. 2 of children play ball and another 2 of children play like pingpong. there is a baby that have been hold by their mother or maybe nanny.,"there are many people in the picture. All of them are men. people in the outside still do a war, killing each other. and people in the inside panicking because of the war outside.",the man show the picture of warrior maybe he is a general of some army. the warrior have a bow that he carried in his back.  and  he hold an arrow in his right hand. 
11227852055,251550596,12/17/2019 03:37:35 PM,12/17/2019 03:44:29 PM,133.19.169.1,,,,,4,Bachelor,,Computer Science,,島と富士山を望む海岸線で旅をしている一行が休憩している様子を描いている。,男が水墨画を描いている様子を3人の女が見つめている。,小さな子供たちが羽子板や毬で遊ぶ様子が描かれている。,武器を持った男性が数多く描かれている。仇討ちの場面を描いた浮世絵である。,煌びやかに武装した武人の絵を持った男の絵。
11227851970,251550596,12/17/2019 03:37:30 PM,12/17/2019 03:48:37 PM,133.19.169.1,,,,,Unfamiliar,Bachelor,,Computer Science,,"In the picture left, there is a women take her hand to another women's foot. In the picture middle, there are four people. One women is sitting and two women is having a break. A man is saying something to the women. In the picture right, there are three women having a break. One is sitting and two are standing.",There are four people in the picture. One man is painting and three women is watching the painting.,Some girls are playing the ball.,"Three men in the picture fighting with some one. In the background, there are many people with weapon out of the room.",A man is showing a paint of a samurai.
11227851661,251550596,12/17/2019 03:37:08 PM,12/17/2019 03:46:27 PM,133.19.169.1,,,,,Very familiar,Bachelor,,Computer Science,,Servants take-care some girl while their going on the way. ,A man drawing a picture and have 4 woman watching that picture.,5 women playing something(like ball or badminton).,Many people fearing the enemies to going to kill them. ,A man showing picture and in that picture have someone(important human).
11227851336,251550596,12/17/2019 03:37:01 PM,12/17/2019 03:47:32 PM,133.19.169.1,,,,,Very familiar,Bachelor,,Computer Science,,Women taking a break and talking to each other. Mountains and sea at the back. There is one man talking to a woman,"An artist painting ukiyo-e and the girls, most probably his fans/followers looking and praising his art",Young girls playing and enjoying their leisure time.,The bushi/soldiers in front of the gate are scared of the attack outside. War going on. They seem to have captured two rabbits as well.,A man showing a painting of a samurai/bushi (could be his own painting).
11227851316,251550596,12/17/2019 03:37:01 PM,12/17/2019 03:47:43 PM,133.19.169.1,,,,,3,Bachelor,,Computer Science,,"From left on, it's a woman is cleaning the other woman's feet, two men are talking beside a sedan, the maid is talking to the woman in the sedan. The picture in the right contains three women, one of them is sitting on a chair and chatting with the other two.",Three women standing before a man who is drawing on a screen.,"There are two girls playing Japanese traditional badminton on the top of the picture, two girls playing balls on the bottom, and a woman holding a baby in the middle.",It seems like five cowards are hiding from there enemy behind a bamboo curtain.,A man holding a picture of a samurai.
11227843397,251550596,12/17/2019 03:30:36 PM,12/17/2019 03:30:46 PM,133.19.43.10,,,,,2,Doctor,,Psychology,,,,,,
11227681122,251550596,12/17/2019 01:07:03 PM,12/17/2019 01:07:16 PM,118.17.36.248,,,,,4,Master,,Computer Science,,,,,,
11227400168,251550596,12/17/2019 09:49:10 AM,12/17/2019 09:50:01 AM,118.17.36.248,,,,,4,Bachelor,,Computer Science,,,,,,
