Please evaluate your familiarity of Ukiyo-e style images,Please evaluate your familiarity of other artworks(not include Ukiyo-e styles),Your last obtained education degree,,Your major research/study area,,"Please select the best image for this keyword: ""landscape""","Please select the best image for this keywords: ""landscape, child""","Please select the best image for this keywords: ""garden, bijin""","Please select the best image for this keywords: ""warrior, moon""","Please select the best image for this keywords: ""temple, child""","Please select the best image for this keywords: ""devil/demon, deity""","Please select the best image for this keywords: ""myth/legend, history""","Please select the best image for this keywords: ""theatre/theatrical life""","Please select the best image for this keywords: ""poetry, child, cherry blossom""","Please select the best image for this keywords: ""seasons""","Please select the best image for this description:""The picture show a beautiful view of a very high mountain along with a wide river. The context looks like, there is mist covering everything, there is one boat in the river.""","Please select the best image for this description:""There are three person in the picture, two womans and one kid. They appear in the the mountain context, one one woman is carrying her kid, and the other woman is doing laundry in the river. From a distance, there is a house appear in the right corner of the picture.""","Please select the best image for this description:""two woman are in the pictures. one of them is sitting and still fixing her appearance while looking in the hand mirror. The other one is standing and talking to the sitting one.""","Please select the best image for this description: ""There are two man fighting each other in the picture. It looks like they are generals from two different clans.""","Please select the best image for this description:""A japanese woman is holding the kid. The woman wears kimono and so is the kid. There is a picture hanging in the room. It looks like they are mother and son.""","Please select the best image for this description:""A man with a sword grabs a little demon with a horn and threatens enough to make the spider growing upside down on his face while trying to cut it.""","Please select the best image for this description:""On the side of the waterfall in the canyon, the samurai are climbing the waterfall, clinging to the trees extending from the waterfall so they are not washed away by the water.""","Please select the best image for this description:""In this picture, one man, one woman, and one person whose gender is unknown are drawn, and the woman appears to be rejecting the man.""","Please select the best image for this description:""Three women are drawn in this ukiyo-e, and the woman in the middle is messing with a plate floating on the river with a stick. The background is green, and cherry blossoms are in bloom, so it seems to be spring.""","Please select the best image for this description:""This ukiyo-e shows four women and one man. Only men have luggage and it looks like they are taking a walk in the spring.""","Please select the best image for this description:""Painting, album leaf. Landscape. Fuji beyond lake and pine clad promontary. Ink and colours on paper.""","Please select the best image for this description:""Woodblock print. Rural landscape. Woman rinsing cloth in a stream above a village with girl carrying infant arriving with kettle. Nishiki-e on paper.""","Please select the best image for this description:""Woodblock print. Bijinga. Girl adjusting her hair in mirror with another girl watching, beyond a shoji and garden with rocks. Nishiki-e on paper.""","Please select the best image for this description: ""Colour woodblock print. The blind warrior Taira no Tomoume parrying a blow from behind.""","Please select the best image for this description:""Woodblock print. Popular culture. Woman with baby, with picture of Kinryuzan Sensoji temple inset.""","Please select the best image for this description:""Painting, hanging scroll. Shoki the Demon Queller and two demons. Ink and colours on silk. Signed and sealed.""","Please select the best image for this description:""Woodblock print.History, myth and legend. Yoshitsune. Nishiki-e on paper.""","Please select the best image for this description:""Woodblock. Classical literature. Act III, O-Karu repulsing the Bannai's embrace, Kampei, her lover, appearing from behind wall. Nishiki-e on paper.""","Please select the best image for this description:""Woodblock print, triptych. Nine girls playing kyokusui (composing poems) by a stream at cherry-blossom time, Mount Fuji in the background. Nishiki-e on paper.""","Please select the best image for this description:""Colour woodblock-printed surimono. Group of four women and one man gathering spring flowers in field; one woman pointing three butterflies in left. Nishiki-e on paper. Signed and sealed."""
3,4,Bachelor,,Computer Science,,Image 5,Image 1,Image 1,Image 1,Image 3,Image 1,Image 2,Image 1,Image 3,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 4,Image 1,Image 1,Image 1
Unfamiliar,Unfamiliar,Bachelor,,Computer Science,,Image 1,Image 1,Image 5,Image 1,Image 3,Image 1,Image 4,Image 5,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 4,Image 1,Image 3,Image 1
4,2,Bachelor,,Computer Science,,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 3,Image 1,Image 3,Image 1,Image 1,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 4,Image 1,Image 1,Image 1
4,4,Bachelor,,Computer Science,,Image 1,Image 4,Image 1,Image 1,Image 1,Image 1,Image 5,Image 1,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1
3,4,Master,,Computer Science,,Image 4,Image 1,Image 1,Image 4,Image 1,Image 1,Image 3,Image 1,Image 1,Image 1,Image 1,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 4,Image 1,Image 1,Image 5,Image 3,Image 1,Image 1,Image 5,Image 3,Image 2,Image 3,Image 1
Very familiar,Very familiar,Bachelor,,Computer Science,,Image 5,Image 4,Image 1,Image 1,Image 3,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 3,Image 1,Image 3,Image 1,Image 2,Image 1,Image 3,Image 1
Unfamiliar,3,Master,,Computer Science,,Image 5,Image 1,Image 1,Image 1,Image 3,Image 1,Image 5,Image 3,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 5,Image 1,Image 3,Image 1
2,3,Bachelor,,Computer Science,,Image 3,Image 1,Image 1,Image 1,Image 3,Image 1,Image 3,Image 2,Image 3,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 4,Image 1,Image 3,Image 1
Unfamiliar,4,Bachelor,,Computer Science,,Image 5,Image 4,Image 1,Image 1,Image 3,Image 1,Image 4,Image 4,Image 3,Image 1,Image 4,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 4,Image 1,Image 3,Image 1
3,3,Master,,Computer Science,,Image 1,Image 4,Image 1,Image 2,Image 3,Image 1,Image 1,Image 3,Image 3,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 1,Image 1
Unfamiliar,Unfamiliar,Bachelor,,Computer Science,,Image 1,Image 4,Image 1,Image 4,Image 3,Image 4,Image 1,Image 3,Image 3,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 3,Image 1,Image 1,Image 1,Image 1,Image 1
Very familiar,Very familiar,Bachelor,,Computer Science,,Image 3,Image 1,Image 1,Image 1,Image 3,Image 1,Image 1,Image 1,Image 5,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 4,Image 1,Image 1,Image 1
