url,caption_1,caption_2,name
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP6218.jpg,a painting of a man standing in front of a wall,a painting of a man standing in front of a wall,arcUP6218.jpg
http://data.ukiyo-e.org/honolulu/images/3397.jpg,a building that has a clock on it,a building that has a clock on it,3397.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4784.jpg,a painting of a man standing next to a building,a painting of a painting of a man and a horse,arcUP4784.jpg
http://data.ukiyo-e.org/honolulu/images/5324.jpg,a group of people standing on top of a beach,a group of people on a beach with a kite,5324.jpg
http://data.ukiyo-e.org/honolulu/images/3934.jpg,a painting of a painting of a building with a painting on it,a painting of a painting of a man standing in front of a painting,3934.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-420.jpg,a black and white photo of a woman leading a horse,a black and white photo of a woman walking with a horse,Z0172-420.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-004.jpg,a picture of a building with a snow covered wall,a picture of a building with a snow covered wall,Z0170-004.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3088.jpg,a painting of a group of people holding umbrellas,a group of people standing in front of a building,arcUP3088.jpg
http://data.ukiyo-e.org/honolulu/images/3874.jpg,a painting of a cow on the side of a wall,a painting on a wall with a mural on it,3874.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0170/Z0170-237.jpg,a black and white photo of people on a wall,a black and white photo of people on a hill,Z0170-237.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP1676.jpg,a painting of a building with people walking around,a building with a mural on the wall,arcUP1676.jpg
http://data.ukiyo-e.org/honolulu/images/5255.jpg,a large group of people standing next to each other,a group of people standing next to each other,5255.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-413.jpg,a black and white photo of a building,a black and white photo of a building with a fence,Z0172-413.jpg
http://data.ukiyo-e.org/honolulu/images/6317.jpg,a group of people walking down a street,a group of people walking down a street,6317.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2490.jpg,a painting of a woman holding a kite,a painting of a person holding a kite,arcUP2490.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000533/w0000000/w0000056.jpg,a couple of people standing next to a painting,a painting of people standing next to a painting,w0000056.jpg
http://data.ukiyo-e.org/honolulu/images/7973.jpg,a wall with a painting on the side of it,a wall with a painting of a clock on it,7973.jpg
http://data.ukiyo-e.org/honolulu/images/4004.jpg,a group of people sitting on top of a wooden bench,a group of people sitting on top of a sandy beach,4004.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000480/w0000001/w0000019.jpg,a painting of a painting on the wall of a wall,a wall with a painting of a painting on it,w0000019.jpg
http://data.ukiyo-e.org/honolulu/images/3480.jpg,a view of a swimming pool with a sky background,a view of a beach with many chairs and umbrellas,3480.jpg
http://data.ukiyo-e.org/honolulu/images/4287.jpg,a group of people standing in front of a painting,a group of people standing in front of a painting,4287.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3489.jpg,a painting of a man in front of a building,a painting of a man sitting in front of a building,arcUP3489.jpg
http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0167/Z0167-013.jpg,a black and white photo of a group of people,a black and white photo of a group of people,Z0167-013.jpg
